0,0000 0,00 0,00 0,00 0,00 0,00 0,00
5380,0000 77,96 -4,27 0,00 24,79 -684,37 492,95
5392,0000 78,94 -5,15 0,00 24,79 -684,38 492,95
5396,0000 78,94 -5,15 0,00 24,79 -684,38 492,95
5396,0000 78,94 -5,15 0,00 24,79 -684,38 492,95
5412,0000 79,29 -4,75 0,00 24,79 -684,39 492,95
5412,0000 79,29 -4,75 0,00 24,79 -684,40 492,95
5422,0000 79,00 -4,48 0,00 24,78 -684,42 492,95
5422,0000 79,00 -4,48 0,00 24,77 -684,43 492,96
5422,0000 79,00 -4,48 0,00 24,77 -684,45 492,96
5454,0000 79,09 -4,16 0,00 24,76 -684,47 492,96
5454,0000 79,09 -4,16 0,00 24,74 -684,50 492,96
5467,0000 79,28 -4,15 0,00 24,73 -684,52 492,96
5467,0000 79,28 -4,15 0,00 24,71 -684,55 492,96
5467,0000 79,28 -4,15 0,00 24,69 -684,59 492,96
5489,0000 79,24 -4,23 0,00 24,66 -684,62 492,96
5490,0000 79,24 -4,23 0,00 24,63 -684,66 492,96
5503,0000 79,84 -4,02 0,00 24,60 -684,70 492,95
5503,0000 79,84 -4,02 0,00 24,57 -684,74 492,95
5504,0000 79,84 -4,02 0,00 24,53 -684,78 492,94
5517,0000 80,98 -2,99 0,00 24,50 -684,82 492,94
5517,0000 80,98 -2,99 0,00 24,46 -684,86 492,93
5529,0000 82,44 -2,55 0,00 24,42 -684,90 492,92
5529,0000 82,44 -2,55 0,00 24,37 -684,94 492,91
5529,0000 82,44 -2,55 0,00 24,33 -684,98 492,90
5548,0000 84,66 -1,92 0,00 24,28 -685,02 492,89
5549,0000 84,66 -1,92 0,00 24,24 -685,06 492,88
5569,0000 87,80 -1,48 0,00 24,19 -685,10 492,87
5570,0000 87,80 -1,48 0,00 24,15 -685,14 492,85
5570,0000 87,80 -1,48 0,00 24,10 -685,17 492,84
5582,0000 87,80 -1,48 0,00 24,05 -685,21 492,83
5582,0000 87,80 -1,48 0,00 24,00 -685,24 492,81
5593,0000 90,84 -1,04 0,00 23,95 -685,27 492,80
5594,0000 90,84 -1,04 0,00 23,90 -685,30 492,78
5594,0000 90,84 -1,04 0,00 23,85 -685,32 492,77
5622,0000 100,21 0,20 0,00 23,79 -685,34 492,75
5622,0000 100,21 0,20 0,00 23,74 -685,35 492,72
5647,0000 105,02 0,86 0,00 23,67 -685,35 492,70
5664,0000 110,45 2,07 0,00 23,61 -685,35 492,66
5664,0000 110,45 2,07 0,00 23,54 -685,34 492,63
5675,0000 110,45 2,07 0,00 23,46 -685,32 492,59
5675,0000 110,45 2,07 0,00 23,38 -685,30 492,54
5696,0000 115,95 2,38 0,00 23,29 -685,26 492,48
5696,0000 122,03 3,32 0,00 23,19 -685,22 492,42
5696,0000 122,03 3,32 0,00 23,09 -685,17 492,36
5706,0000 122,03 3,32 0,00 22,97 -685,10 492,28
5707,0000 122,03 3,32 0,00 22,85 -685,03 492,20
5723,0000 127,86 4,76 0,00 22,71 -684,94 492,11
5723,0000 127,86 4,76 0,00 22,55 -684,83 492,01
5723,0000 127,86 4,76 0,00 22,38 -684,72 491,90
5734,0000 134,52 5,21 0,00 22,20 -684,58 491,77
5735,0000 134,52 5,21 0,00 21,99 -684,43 491,62
5752,0000 140,69 6,13 0,00 21,76 -684,25 491,46
5752,0000 140,69 6,13 0,00 21,52 -684,06 491,28
5752,0000 140,69 6,13 0,00 21,25 -683,84 491,09
5765,0000 140,69 6,13 0,00 20,95 -683,61 490,87
5766,0000 140,69 6,13 0,00 20,64 -683,35 490,64
5787,0000 146,44 6,07 0,00 20,30 -683,07 490,39
5788,0000 152,95 7,11 0,00 19,93 -682,77 490,12
5789,0000 152,95 7,11 0,00 19,54 -682,45 489,83
5802,0000 152,95 7,11 0,00 19,13 -682,11 489,52
5802,0000 152,95 7,11 0,00 18,70 -681,74 489,20
5817,0000 158,41 8,84 0,00 18,23 -681,35 488,86
5817,0000 158,41 8,84 0,00 17,75 -680,94 488,49
5817,0000 158,41 8,84 0,00 17,24 -680,51 488,11
5831,0000 162,77 10,08 0,00 16,70 -680,05 487,71
5831,0000 162,77 10,08 0,00 16,14 -679,58 487,29
5848,0000 166,74 10,57 0,00 15,56 -679,08 486,85
5848,0000 166,74 10,57 0,00 14,95 -678,56 486,39
5848,0000 166,74 10,57 0,00 14,31 -678,02 485,92
5891,0000 171,56 11,69 0,00 13,66 -677,46 485,42
5891,0000 171,56 11,69 0,00 12,98 -676,87 484,91
5898,0000 171,56 11,69 0,00 12,28 -676,27 484,38
5899,0000 173,05 12,81 0,00 11,56 -675,65 483,84
5900,0000 173,05 12,81 0,00 10,81 -675,01 483,28
5921,0000 173,51 12,69 0,00 10,05 -674,36 482,70
5930,0000 173,51 12,69 0,00 9,27 -673,68 482,12
5946,0000 173,30 12,86 0,00 8,48 -672,99 481,51
5955,0000 173,05 12,37 0,00 7,66 -672,29 480,90
5956,0000 173,05 12,37 0,00 6,84 -671,57 480,27
5967,0000 173,05 12,37 0,00 6,00 -670,83 479,64
5968,0000 173,05 12,37 0,00 5,14 -670,08 478,99
5988,0000 173,44 12,78 0,00 4,28 -669,31 478,33
