Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
2469.00 	86.6800 	-707.710 	530.630 	86.4065 	-707.470 	530.427 	
2473.00 	86.6800 	-707.700 	530.630 	86.7440 	-707.769 	530.682 	
2477.00 	86.6800 	-707.700 	530.630 	86.7440 	-707.769 	530.682 	
2481.00 	86.6800 	-707.690 	530.630 	86.7440 	-707.769 	530.682 	
2485.00 	86.6900 	-707.680 	530.620 	86.7440 	-707.769 	530.682 	
2489.00 	86.6800 	-707.670 	530.620 	86.7440 	-707.769 	530.682 	
2493.00 	86.6800 	-707.670 	530.620 	86.7440 	-707.769 	530.682 	
2497.00 	86.6800 	-707.660 	530.620 	86.5290 	-707.552 	530.512 	
2501.00 	86.6700 	-707.660 	530.610 	86.5290 	-707.552 	530.512 	
2505.00 	86.6700 	-707.650 	530.610 	86.5290 	-707.552 	530.512 	
2509.00 	86.6700 	-707.640 	530.610 	86.5290 	-707.552 	530.512 	
2513.00 	86.6700 	-707.640 	530.600 	86.5290 	-707.552 	530.512 	
2518.00 	86.6600 	-707.640 	530.600 	86.5290 	-707.552 	530.512 	
2521.00 	86.6600 	-707.630 	530.600 	86.7315 	-707.634 	530.637 	
2525.00 	86.6600 	-707.630 	530.590 	86.7315 	-707.634 	530.637 	
2529.00 	86.6600 	-707.620 	530.590 	86.7315 	-707.634 	530.637 	
2534.00 	86.6600 	-707.620 	530.590 	86.7315 	-707.634 	530.637 	
2538.00 	86.6600 	-707.620 	530.590 	86.7315 	-707.634 	530.637 	
2542.00 	86.6500 	-707.620 	530.590 	86.7315 	-707.634 	530.637 	
2546.00 	86.6500 	-707.610 	530.590 	86.5715 	-707.427 	530.497 	
2550.00 	86.6500 	-707.610 	530.590 	86.5715 	-707.427 	530.497 	
2555.00 	86.6500 	-707.610 	530.590 	86.5715 	-707.427 	530.497 	
2558.00 	86.6500 	-707.610 	530.580 	86.5715 	-707.427 	530.497 	
2562.00 	86.6500 	-707.610 	530.580 	86.5715 	-707.427 	530.497 	
2567.00 	86.6500 	-707.610 	530.580 	86.5715 	-707.427 	530.497 	
2570.00 	86.6400 	-707.600 	530.580 	86.7515 	-707.704 	530.667 	
2574.00 	86.6400 	-707.600 	530.580 	86.7515 	-707.704 	530.667 	
2579.00 	86.6400 	-707.600 	530.580 	86.7515 	-707.704 	530.667 	
2582.00 	86.6400 	-707.600 	530.580 	86.7515 	-707.704 	530.667 	
2586.00 	86.6400 	-707.600 	530.580 	86.7515 	-707.704 	530.667 	
2590.00 	86.6500 	-707.600 	530.580 	86.7515 	-707.704 	530.667 	
2594.00 	86.6500 	-707.590 	530.580 	86.5190 	-707.465 	530.482 	
2599.00 	86.6500 	-707.590 	530.580 	86.5190 	-707.465 	530.482 	
2602.00 	86.6500 	-707.590 	530.570 	86.5190 	-707.465 	530.482 	
